date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:06	95/95	---M--	200	added ('OK')	text/plain	etag:%225f-61e01cdb8bb73%22	https://cubarentacaronline.com/robots.txt		(from )
00:24:07	58227/58227	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:17%20GMT	https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/indexe2f0.html	(from )
00:24:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2015%20Dec%202024%2005:24:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/rentadeautoscuba/www.googletagmanager.com/gtm.05445.delayed	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:12	59305/59305	---M--	200	added ('OK')	text/css	etag:%22610b05da-e7a9%22	https://static.cubarentacaronline.com/lib/fontawesome/css/all.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/fontawesome/css/all.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:13	80533/80533	---M--	200	added ('OK')	text/css	etag:%22628e673a-13a95%22	https://static.cubarentacaronline.com/lib/bootstrap-icons/bootstrap-icons.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/bootstrap-icons/bootstrap-icons.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:14	16953/16953	---M--	200	added ('OK')	text/css	etag:%226280d34c-4239%22	https://static.cubarentacaronline.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/animate/animate.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:14	324226/324226	---M--	200	added ('OK')	text/css	etag:%2262bd254c-4f282%22	https://static.cubarentacaronline.com/lib/material-design-icons/css/materialdesignicons.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/material-design-icons/css/materialdesignicons.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:14	2936/2936	---M--	200	added ('OK')	text/css	etag:%226280d34c-b78%22	https://static.cubarentacaronline.com/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/owlcarousel/assets/owl.carousel.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:15	3865/3865	---M--	200	added ('OK')	text/css	etag:%226107c8a2-f19%22	https://static.cubarentacaronline.com/lib/datetime-picker-component/css/date-time-picker-component.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/datetime-picker-component/css/date-time-picker-component.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:15	164033/164033	---M--	200	added ('OK')	text/css	etag:%226280d34c-280c1%22	https://static.cubarentacaronline.com/css/bootstrap.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/css/bootstrap.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:15	13640/13640	---M--	200	added ('OK')	text/css	etag:%226260995a-3548%22	https://static.cubarentacaronline.com/lib/bootstrap-select/css/bootstrap-select.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/bootstrap-select/css/bootstrap-select.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:16	16166/16166	---M--	200	added ('OK')	text/css	etag:%22674493e9-3f26%22	https://static.cubarentacaronline.com/lib/flatpickr/flatpickr.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/flatpickr/flatpickr.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:16	27398/27398	---M--	200	added ('OK')	text/css	etag:%2262823516-6b06%22	https://static.cubarentacaronline.com/lib/flag-icons/css/flag-icons.min.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/lib/flag-icons/css/flag-icons.min.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:16	14956/14956	---M--	200	added ('OK')	text/css	etag:%226744bbe8-3a6c%22	https://static.cubarentacaronline.com/css/style.css	C:/My%20Web%20Sites/rentadeautoscuba/static.cubarentacaronline.com/css/style.css	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:17	58572/58572	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:28%20GMT	https://cubarentacaronline.com/es?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/ese2f0.html	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:18	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2015%20Dec%202024%2005:24:28%20GMT	https://cubarentacaronline.com/en/set-currency?cxv=EUR&cxr=%2F%3Fgad_source%3D1%26gclid%3DEAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/set-currencyc218	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:18	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2015%20Dec%202024%2005:24:29%20GMT	https://cubarentacaronline.com/en/set-currency?cxv=USD&cxr=%2F%3Fgad_source%3D1%26gclid%3DEAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/set-currencyc5c6	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:19	57678/57678	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:30%20GMT	https://cubarentacaronline.com/en	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en.html	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:20	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2015%20Dec%202024%2005:24:30%20GMT	https://cubarentacaronline.com/en/set-currency?cxv=EUR&cxr=%2F%3Fgad_source%3D1%26gclid%3DEAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/set-currencyc218	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:20	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2015%20Dec%202024%2005:24:31%20GMT	https://cubarentacaronline.com/en/set-currency?cxv=USD&cxr=%2F%3Fgad_source%3D1%26gclid%3DEAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/set-currencyc5c6	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:22	58335/58335	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:32%20GMT	https://cubarentacaronline.com/en/cars	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/cars.html	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:23	49358/49358	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:33%20GMT	https://cubarentacaronline.com/en/cars?ctg=compact	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/carsa19d.html	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:24	49208/49208	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:35%20GMT	https://cubarentacaronline.com/en/cars?ctg=economic	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/carse7ea.html	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
00:24:26	49324/49324	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202024%2005:24:36%20GMT	https://cubarentacaronline.com/en/cars?ctg=intermediate	C:/My%20Web%20Sites/rentadeautoscuba/cubarentacaronline.com/en/carsb455.html	(from https://cubarentacaronline.com/?gad_source=1&gclid=EAIaIQobChMI_JKv1IOpigMV1aqDBx1C1zbvEAAYASAAEgL6EvD_BwE)
